ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: produkt_maengde","Meta: _produkt_maengde","Meta: produkt_beskrivelse","Meta: _produkt_beskrivelse","Meta: oprindelsesland","Meta: _oprindelsesland","Meta: naeringsindhold","Meta: _naeringsindhold","Meta: ingredienser","Meta: _ingredienser"
204,simple,,,"Den glade maves grød",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,59,"Grød & Gryn > Grødblandinger",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Den-glade-maves-grod.jpg,,,,,,,,,0,Aurion,"700 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
205,simple,,,"Glutenfri grød",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,76,"Grød & Gryn > Grødblandinger",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Glutenfri-grod.jpg,,,,,,,,,0,Aurion,"700 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
209,simple,,,Krudtuglegrød,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,59,"Grød & Gryn > Grødblandinger",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Krudtuglegrod.jpg,,,,,,,,,0,Aurion,"700 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
215,simple,,,"Espresso Café de Alturas",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,45,"Kaffe > Kapsler",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Espresso-kaffekapsler-Cafe-de-Alturas.gif,,,,,,,,,0,ØNSK,"10 Kapsler",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
216,simple,,,"Kaffebønner Café de Alturas",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,85,"Kaffe > Bønner",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kaffebonner-Cafe-de-Alturas.png,,,,,,,,,0,ØNSK,250g,field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
219,simple,,,"Kaffebønner Cesar Sampertegui",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,89,"Kaffe > Bønner",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kaffebonner-Cesar-Sampertegui.jpg,,,,,,,,,0,ØNSK,250g,field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
220,simple,,,"Lungo kaffekapsler Leonel Valladares",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,79,"Kaffe > Kapsler",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Lungo-kaffekapsler-Leonel-Valladares.gif,,,,,,,,,0,ØNSK,"250 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
221,simple,,,"Lungo kaffekapsler Leonel Valladares",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,45,"Kaffe > Kapsler",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Lungo-kaffekapsler-Leonel-Valladares.gif,,,,,,,,,0,ØNSK,"10 Kapsler",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
240,simple,,,"Gløgg m. krydderi",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,80,"Drikkevarer > Specialdrikke",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Glogg-m.-krydderi.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
241,simple,,,"Blåbærsaft sur",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,94,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blabaersaft-sur.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
